integration_dfb,batch,apa,pde,excluded_channels
0.3,2,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
0.3,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,2,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,2,3,0.4,[11131]
0.3,2,3,0.45,[11131]
0.3,2,3,0.5,"[11131, 11115]"
0.3,2,4,0.4,"[11233, 11300, 11211, 11307]"
0.3,2,4,0.45,"[11307, 11211, 11233]"
0.3,2,4,0.5,"[11211, 11222, 11233]"
0.3,3,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,3,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,3,3,0.4,[11131]
0.3,3,3,0.45,"[11115, 11131]"
0.3,3,3,0.5,"[11131, 11115]"
0.3,3,4,0.4,"[11233, 11300, 11211, 11222]"
0.3,3,4,0.45,"[11233, 11211]"
0.3,3,4,0.5,[11211]
0.3,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.3,4,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,4,3,0.45,[]
0.3,4,4,0.45,[11211]
0.3,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.3,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,5,3,0.45,[11131]
0.3,5,4,0.45,"[11211, 11305]"
0.3,6,3,0.45,[11131]
0.3,6,4,0.45,"[11211, 11305, 11307]"
0.3,7,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946]"
0.3,7,2,0.50,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,7,3,0.4,[11131]
0.3,7,3,0.45,[11131]
0.3,7,3,0.50,"[11131, 11134]"
0.3,7,4,0.4,"[11211, 11305, 11307]"
0.3,7,4,0.45,"[11211, 11305, 11307]"
0.3,7,4,0.50,"[11207, 11211, 11305, 11307]"
0.4,1,1,0.45,"[10512, 10710]"
0.4,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.4,1,3,0.45,"[11131, 11103]"
0.4,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.4,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.4,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.4,2,3,0.45,[11131]
0.4,2,4,0.45,"[11307, 11211, 11233]"
0.4,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
0.4,3,3,0.45,[11131]
0.4,3,4,0.45,"[11233, 11211]"
0.4,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.4,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
0.4,4,3,0.45,[11131]
0.4,4,4,0.45,[11211]
0.4,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.4,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.4,5,3,0.45,"[11131, 11115]"
0.4,5,4,0.45,"[11211, 11305, 11222, 11233]"
0.4,6,3,0.45,"[11131, 11115]"
0.4,6,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.4,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946]"
0.4,7,3,0.45,[11131]
0.4,7,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.5,1,1,0.45,"[10512, 10710]"
0.5,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.5,1,3,0.45,"[11131, 11103]"
0.5,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.5,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.5,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.5,2,3,0.45,[11131]
0.5,2,4,0.45,"[11307, 11211, 11233]"
0.5,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.5,3,3,0.45,[11131]
0.5,3,4,0.45,"[11233, 11211]"
0.5,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.5,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
0.5,4,3,0.45,[11131]
0.5,4,4,0.45,[11211]
0.5,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.5,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.5,5,3,0.45,"[11131, 11115]"
0.5,5,4,0.45,"[11211, 11305, 11222, 11233]"
0.5,6,3,0.45,"[11131, 11115]"
0.5,6,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.5,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946]"
0.5,7,3,0.45,[11131]
0.5,7,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.6,1,1,0.45,"[10512, 10710]"
0.6,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.6,1,3,0.45,"[11131, 11103, 11106]"
0.6,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.6,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.6,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.6,2,3,0.45,[11131]
0.6,2,4,0.45,"[11307, 11211, 11233]"
0.6,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.6,3,3,0.45,"[11131, 11103]"
0.6,3,4,0.45,"[11233, 11211]"
0.6,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.6,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
0.6,4,3,0.45,[11131]
0.6,4,4,0.45,[11211]
0.6,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.6,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.6,5,3,0.45,"[11131, 11115]"
0.6,5,4,0.45,"[11211, 11305, 11222, 11233]"
0.6,6,3,0.45,"[11131, 11115]"
0.6,6,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.6,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946]"
0.6,7,3,0.45,[11131]
0.6,7,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.7,1,1,0.45,"[10512, 10710]"
0.7,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.7,1,3,0.45,[11131]
0.7,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.7,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.7,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.7,2,3,0.45,[11131]
0.7,2,4,0.45,"[11307, 11211, 11233, 11222]"
0.7,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.7,3,3,0.45,[11131]
0.7,3,4,0.45,"[11233, 11211]"
0.7,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.7,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
0.7,4,3,0.45,[11131]
0.7,4,4,0.45,[11211]
0.7,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.7,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.7,5,3,0.45,"[11131, 11115]"
0.7,5,4,0.45,"[11211, 11305, 11222, 11233]"
0.7,6,3,0.45,"[11131, 11115]"
0.7,6,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
